date,value,cash,positions
2025-01-02,999740.2301,799917.2301,1
2025-01-03,1010595.6877000001,600009.6877000001,2
2025-01-06,997489.8007144001,591655.8007144001,2
2025-01-07,1020635.3171144002,290893.31711440015,4
2025-01-08,1016999.8762150002,200722.8762150002,5
2025-01-09,1021778.5671539002,301200.56715390016,5
2025-01-10,997533.5671539002,301200.56715390016,5
2025-01-13,981829.6734765002,382592.67347650026,4
2025-01-14,1031101.5582765003,267739.55827650026,5
2025-01-15,1051368.6699656004,238152.6699656003,5
2025-01-16,1057301.6699656004,238152.6699656003,5
2025-01-17,1043299.6699656004,238152.6699656003,5
2025-01-20,1042588.4501356003,349649.4501356003,5
2025-01-21,1061084.2497388003,322454.24973880034,5
2025-01-22,1044475.1245785004,265402.1245785004,5
2025-01-23,1042671.1245785004,265402.1245785004,5
2025-01-24,1051272.1245785004,265402.1245785004,5
2025-01-27,1035946.4560519005,268020.4560519005,5
2025-02-05,1046717.4560519005,268020.4560519005,5
2025-02-06,1067971.1847141008,274143.1847141007,5
2025-02-07,1067389.9322546008,285700.9322546007,5
2025-02-10,1094956.5450646007,340152.5450646007,5
2025-02-11,1088005.9074587007,359418.9074587007,5
2025-02-12,1115696.9074587007,359418.9074587007,5
2025-02-13,1134717.9045730007,295024.90457300073,5
2025-02-14,1127482.3226570007,304753.32265700074,5
2025-02-17,1131149.3226570007,304753.32265700074,5
2025-02-18,1108143.266783801,336874.26678380085,5
2025-02-19,1152617.887490101,344657.8874901009,5
2025-02-20,1146983.3918366008,359820.39183660096,5
2025-02-21,1176757.745794601,340662.745794601,5
2025-02-24,1166996.745794601,340662.745794601,5
2025-02-25,1170043.046754301,872170.0467543011,2
2025-02-26,1177549.046754301,872170.0467543011,2
2025-02-27,1170839.493123301,1023203.4931233011,1
2025-02-28,1159591.998293101,1159591.998293101,0
2025-03-03,1159591.998293101,1159591.998293101,0
2025-03-04,1159591.998293101,1159591.998293101,0
2025-03-05,1159591.998293101,1159591.998293101,0
2025-03-06,1159591.998293101,1159591.998293101,0
2025-03-07,1159591.998293101,1159591.998293101,0
2025-03-10,1159591.998293101,1159591.998293101,0
2025-03-18,1159591.998293101,1159591.998293101,0
2025-03-19,1159591.998293101,1159591.998293101,0
2025-03-20,1159591.998293101,1159591.998293101,0
2025-03-21,1159591.998293101,1159591.998293101,0
2025-03-24,1159591.998293101,1159591.998293101,0
2025-03-25,1159591.998293101,1159591.998293101,0
2025-03-26,1159591.998293101,1159591.998293101,0
2025-03-27,1159591.998293101,1159591.998293101,0
2025-03-28,1159591.998293101,1159591.998293101,0
2025-03-31,1159591.998293101,1159591.998293101,0
2025-04-01,1159591.998293101,1159591.998293101,0
2025-04-02,1159591.998293101,1159591.998293101,0
2025-04-03,1159591.998293101,1159591.998293101,0
2025-04-07,1159308.8582931012,941508.8582931012,1
2025-04-08,1162008.8582931012,941508.8582931012,1
2025-04-09,1182888.8582931012,941508.8582931012,1
2025-04-10,1183203.8582931012,941508.8582931012,1
2025-04-11,1193881.645784601,730041.6457846012,2
2025-04-14,1204935.3588846014,251507.35888460133,5
2025-04-15,1181612.3588846014,251507.35888460133,5
2025-04-16,1182828.3588846014,251507.35888460133,5
2025-04-17,1197840.3588846014,251507.35888460133,5
2025-04-18,1174130.1636215013,318716.1636215013,5
2025-04-21,1187465.4062393014,281432.4062393013,5
2025-04-22,1189743.4062393014,281432.4062393013,5
2025-04-23,1192225.4062393014,281432.4062393013,5
2025-04-24,1176164.4974101014,286390.4974101013,5
2025-04-25,1153125.5736937015,300976.5736937015,5
2025-04-28,1131981.1283617015,325015.1283617015,5
2025-04-29,1140609.1283617015,325015.1283617015,5
2025-04-30,1154979.1283617015,325015.1283617015,5
2025-05-06,1184088.6037335014,316974.6037335015,5
2025-05-07,1186890.2775695017,314346.27756950166,5
2025-05-08,1199124.8183859016,315926.8183859016,5
2025-05-09,1169897.8183859016,315926.8183859016,5
2025-05-12,1185221.8183859016,315926.8183859016,5
2025-05-13,1191682.5574427017,324418.55744270165,5
2025-05-14,1194297.2159451018,314177.2159451017,5
2025-05-15,1179385.5509975017,312461.5509975017,5
2025-05-16,1174908.9065199017,307494.9065199017,5
2025-05-19,1176725.9065199017,307494.9065199017,5
2025-05-20,1179786.106702502,311002.10670250177,5
2025-05-21,1178066.561452502,377141.5614525019,5
2025-05-22,1162200.288732502,360182.2887325019,5
2025-05-23,1148382.516010102,348213.51601010194,5
2025-05-26,1155259.701717102,345785.70171710197,5
2025-05-27,1141568.219416202,477858.219416202,4
2025-05-28,1128802.655439102,817159.6554391021,2
2025-05-29,1128298.655439102,817159.6554391021,2
2025-05-30,1117774.9992400021,975955.9992400021,1
2025-06-03,1118696.238317802,1118696.238317802,0
2025-06-04,1118696.238317802,1118696.238317802,0
2025-06-05,1118409.165817802,897584.1658178021,1
2025-06-06,1124899.165817802,897584.1658178021,1
2025-06-09,1117529.165817802,897584.1658178021,1
2025-06-10,1117859.165817802,897584.1658178021,1
2025-06-11,1118079.165817802,897584.1658178021,1
2025-06-12,1121088.299456302,1121088.299456302,0
2025-06-13,1120801.441456302,900141.4414563021,1
2025-06-16,1117589.441456302,900141.4414563021,1
2025-06-17,1112969.441456302,900141.4414563021,1
2025-06-18,1119630.667856302,676178.6678563021,2
2025-06-19,1098548.015564302,472164.0155643021,3
2025-06-20,1090046.326964302,333762.3269643021,4
2025-06-23,1094482.4131408022,230300.41314080218,5
2025-06-24,1134122.4131408022,230300.41314080218,5
2025-06-25,1161385.1551006022,347388.1551006022,5
2025-06-26,1153609.3988098023,304292.39880980225,5
2025-06-27,1159566.3988098023,304292.39880980225,5
2025-06-30,1163617.8018852023,309285.8018852023,5
2025-07-01,1169995.8018852023,309285.8018852023,5
2025-07-02,1159167.4004242024,323135.4004242023,5
2025-07-03,1150859.8097017026,264187.8097017025,5
2025-07-04,1137555.8097017026,264187.8097017025,5
2025-07-07,1140362.8097017026,264187.8097017025,5
2025-07-08,1162519.8097017026,264187.8097017025,5
2025-07-09,1151121.7152969027,281253.7152969026,5
2025-07-10,1165957.239375203,394467.2393752028,4
2025-07-11,1190347.3309752028,282854.33097520284,5
2025-07-14,1217383.6131698028,478581.6131698028,4
2025-07-15,1211999.2209842028,415972.2209842028,4
