symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,holding_days,predicted_prob,exit_reason
SHSE.600903,2025-01-03,7.34,2025-01-06,6.83,-6.91%,1,99.6%,止损
SZSE.002075,2025-01-07,5.84,2025-01-08,5.53,-5.23%,1,76.2%,止损
SZSE.300131,2025-01-02,8.09,2025-01-09,9.28,14.72%,5,72.6%,持仓到期
SZSE.300607,2025-01-06,29.38,2025-01-13,29.17,-0.71%,5,98.2%,持仓到期
SHSE.688003,2025-01-07,41.9,2025-01-13,39.69,-5.27%,4,96.5%,止损
SHSE.600292,2025-01-09,12.6,2025-01-13,11.77,-6.60%,2,93.5%,止损
SZSE.000833,2025-01-08,11.03,2025-01-15,11.17,1.26%,5,97.0%,持仓到期
SZSE.002041,2025-01-08,11.08,2025-01-15,11.06,-0.19%,5,95.2%,持仓到期
SZSE.002131,2025-01-13,3.34,2025-01-15,4.04,20.84%,2,96.9%,止盈
SHSE.600480,2025-01-13,10.38,2025-01-20,11.63,12.03%,5,97.2%,持仓到期
SZSE.002195,2025-01-14,4.28,2025-01-21,4.08,-4.77%,5,100.0%,持仓到期
SZSE.300007,2025-01-15,28.4,2025-01-22,26.93,-5.17%,5,100.0%,持仓到期
SHSE.688306,2025-01-15,8.62,2025-01-22,8.86,2.80%,5,100.0%,持仓到期
SHSE.688279,2025-01-15,185.56,2025-01-22,209.62,12.97%,5,100.0%,持仓到期
SHSE.600812,2025-01-20,5.43,2025-01-27,5.53,1.92%,5,94.0%,持仓到期
SZSE.300580,2025-01-21,27.8,2025-01-27,26.23,-5.63%,4,98.1%,止损
SHSE.600835,2025-01-22,17.83,2025-02-06,18.49,3.71%,5,99.7%,持仓到期
SHSE.601208,2025-01-22,8.22,2025-02-06,8.24,0.26%,5,97.9%,持仓到期
SHSE.600612,2025-01-22,51.96,2025-02-06,50.46,-2.89%,5,97.1%,持仓到期
SZSE.002373,2025-01-27,8.23,2025-02-07,9.64,17.14%,3,86.6%,止盈
SHSE.688279,2025-02-06,234.78,2025-02-10,222.78,-5.11%,2,99.2%,止损
SZSE.300133,2025-01-27,7.55,2025-02-11,7.9,4.66%,5,99.7%,持仓到期
SZSE.300098,2025-02-06,5.73,2025-02-13,5.76,0.60%,5,97.9%,持仓到期
SHSE.600246,2025-02-06,5.33,2025-02-13,5.9,10.77%,5,97.6%,持仓到期
SZSE.300027,2025-02-10,2.71,2025-02-13,3.5,29.02%,3,97.2%,止盈
SZSE.002354,2025-02-07,7.32,2025-02-14,8.39,14.64%,5,99.9%,持仓到期
SZSE.001696,2025-02-11,26.2,2025-02-18,24.88,-5.06%,5,98.1%,持仓到期
SHSE.600835,2025-02-13,19.07,2025-02-18,17.9,-6.12%,3,99.4%,止损
SZSE.300007,2025-02-13,29.92,2025-02-19,37.77,26.24%,4,97.9%,止盈
SHSE.603283,2025-02-13,64.49,2025-02-20,62.59,-2.95%,5,98.8%,持仓到期
SZSE.002354,2025-02-14,8.4,2025-02-21,8.11,-3.43%,5,98.7%,持仓到期
SZSE.300133,2025-02-18,8.27,2025-02-25,8.15,-1.43%,5,100.0%,持仓到期
SZSE.000555,2025-02-18,11.98,2025-02-25,13.2,10.16%,5,99.9%,持仓到期
SZSE.300083,2025-02-19,6.83,2025-02-25,7.92,15.99%,4,98.3%,止盈
SZSE.300303,2025-02-20,7.21,2025-02-27,7.09,-1.62%,5,99.1%,持仓到期
SHSE.603220,2025-02-21,26.79,2025-02-28,25.26,-5.69%,5,99.9%,持仓到期
SHSE.688502,2025-04-07,242.0,2025-04-11,281.17,16.19%,4,90.5%,止盈
SHSE.688502,2025-04-11,281.45,2025-04-18,294.26,4.55%,5,86.9%,持仓到期
SZSE.300373,2025-04-11,46.8,2025-04-18,44.93,-4.01%,5,72.9%,持仓到期
SZSE.300077,2025-04-14,25.97,2025-04-18,24.52,-5.60%,4,100.0%,止损
SHSE.601022,2025-04-14,8.03,2025-04-21,7.77,-3.21%,5,99.8%,持仓到期
SHSE.600877,2025-04-14,12.09,2025-04-21,12.05,-0.35%,5,98.1%,持仓到期
SZSE.002261,2025-04-18,29.28,2025-04-24,27.63,-5.63%,4,83.9%,止损
SZSE.002204,2025-04-18,6.02,2025-04-25,6.11,1.56%,5,95.1%,持仓到期
SZSE.300917,2025-04-18,51.69,2025-04-25,50.92,-1.49%,5,90.9%,持仓到期
SZSE.301363,2025-04-21,26.55,2025-04-25,24.45,-7.93%,4,98.4%,止损
SZSE.002987,2025-04-21,19.75,2025-04-28,18.78,-4.91%,5,99.9%,持仓到期
SHSE.603308,2025-04-24,19.67,2025-05-06,20.61,4.78%,5,99.9%,持仓到期
SZSE.301626,2025-04-25,69.54,2025-05-07,74.03,6.45%,5,99.1%,持仓到期
SHSE.688318,2025-04-25,137.84,2025-05-07,140.36,1.83%,5,98.6%,持仓到期
SHSE.603108,2025-04-25,16.94,2025-05-07,18.82,11.10%,5,98.5%,持仓到期
SZSE.000959,2025-04-28,3.72,2025-05-08,3.62,-2.79%,5,100.0%,持仓到期
SZSE.000811,2025-05-06,11.69,2025-05-13,12.65,8.19%,5,99.9%,持仓到期
SHSE.600552,2025-05-07,11.7,2025-05-14,11.58,-1.04%,5,99.0%,持仓到期
SHSE.600208,2025-05-07,2.72,2025-05-14,2.67,-1.94%,5,98.7%,持仓到期
SZSE.301626,2025-05-07,74.1,2025-05-14,73.43,-0.91%,5,98.5%,持仓到期
SHSE.688503,2025-05-08,34.22,2025-05-15,33.69,-1.56%,5,99.1%,持仓到期
SZSE.002064,2025-05-14,7.28,2025-05-16,6.86,-5.73%,2,98.2%,止损
SZSE.000811,2025-05-13,12.66,2025-05-20,12.37,-2.31%,5,99.8%,持仓到期
SHSE.603225,2025-05-14,11.49,2025-05-21,11.19,-2.62%,5,98.8%,持仓到期
SHSE.603055,2025-05-14,10.22,2025-05-21,10.14,-0.78%,5,98.4%,持仓到期
SZSE.002821,2025-05-15,83.05,2025-05-22,85.91,3.45%,5,99.8%,持仓到期
SZSE.000612,2025-05-16,7.2,2025-05-23,7.55,4.90%,5,97.0%,持仓到期
SZSE.002068,2025-05-22,11.86,2025-05-26,11.12,-6.25%,2,99.7%,止损
SHSE.603308,2025-05-20,21.49,2025-05-27,19.55,-9.03%,5,99.7%,持仓到期
SHSE.688005,2025-05-21,19.64,2025-05-27,18.58,-5.39%,4,99.9%,止损
SZSE.000550,2025-05-21,21.82,2025-05-28,20.92,-4.13%,5,97.1%,持仓到期
SZSE.301316,2025-05-27,49.81,2025-05-28,45.02,-9.61%,1,76.8%,止损
SHSE.600353,2025-05-23,9.88,2025-05-30,10.52,6.47%,5,90.0%,持仓到期
SZSE.000878,2025-05-26,11.93,2025-06-03,11.61,-2.70%,5,96.4%,持仓到期
SHSE.603306,2025-06-05,40.15,2025-06-12,40.65,1.24%,5,87.1%,持仓到期
SZSE.301571,2025-06-13,50.15,2025-06-19,46.85,-6.57%,4,72.2%,止损
SHSE.688205,2025-06-20,65.82,2025-06-23,61.49,-6.58%,1,83.1%,止损
SZSE.002987,2025-06-18,15.32,2025-06-25,18.19,18.75%,5,79.7%,持仓到期
SZSE.301600,2025-06-19,94.18,2025-06-26,96.0,1.94%,5,98.6%,持仓到期
SHSE.688776,2025-06-19,96.48,2025-06-26,95.6,-0.91%,5,73.5%,持仓到期
SZSE.301550,2025-06-23,74.49,2025-06-26,89.09,19.60%,3,94.4%,止盈
SHSE.688205,2025-06-23,61.55,2025-06-30,62.63,1.75%,5,97.0%,持仓到期
SZSE.301363,2025-06-25,17.44,2025-07-02,17.76,1.85%,5,96.8%,持仓到期
SZSE.301550,2025-06-26,89.18,2025-07-03,88.36,-0.92%,5,98.0%,持仓到期
