symbol,buy_date,buy_price,buy_volume,prev_volume,volume_ratio,sell_date,sell_price,profit_pct
SHSE.603063,2025-01-07,22.5,15419200,8858900,1.7405321202406618,2025-01-08,24.3,8.000000000000004
SHSE.605118,2025-01-10,21.0,4336200,1620900,2.6751804553026095,2025-01-13,18.0,-14.285714285714285
SHSE.600507,2025-01-13,3.98,13911000,12035400,1.15584027119996,2025-01-14,4.54,14.070351758793972
SZSE.002534,2025-01-13,12.7,9568896,4177480,2.2905904995356052,2025-01-14,12.03,-5.275590551181102
SHSE.600556,2025-01-16,6.28,113227600,11683500,9.691239782599393,2025-01-17,6.35,1.1146496815286528
SHSE.603667,2025-01-16,40.49,14769889,14200879,1.0400686464549131,2025-01-17,41.7,2.9883921956038546
SZSE.002123,2025-01-17,12.75,25846000,3907972,6.613660486820274,2025-01-20,11.45,-10.196078431372554
SZSE.002543,2025-01-17,11.94,13041348,10394633,1.2546232271981128,2025-01-20,12.0,0.5025125628140745
SHSE.600335,2025-01-21,6.61,12015000,11677343,1.0289155675225092,2025-01-22,6.38,-3.4795763993948627
SHSE.600246,2025-02-05,4.96,40697102,13023800,3.1248254733641487,2025-02-06,5.21,5.040322580645162
SHSE.600595,2025-02-06,3.38,43575214,37887960,1.1501071580523206,2025-02-07,3.26,-3.550295857988169
SHSE.600120,2025-02-06,6.16,37640022,7948390,4.735552986202237,2025-02-07,6.78,10.064935064935067
SZSE.002354,2025-02-06,7.33,99216292,47985357,2.067636841797384,2025-02-07,7.28,-0.6821282401091381
SHSE.603063,2025-02-06,27.41,8740357,2332900,3.7465630759998287,2025-02-07,28.32,3.319956220357534
SHSE.600120,2025-02-07,6.67,195623138,149417559,1.3092379457222962,2025-02-10,6.78,1.649175412293858
SHSE.688158,2025-02-07,23.9,11301625,9949230,1.1359296146535962,2025-02-10,28.59,19.623430962343104
SZSE.002036,2025-02-10,11.64,35099453,28790368,1.2191387411234202,2025-02-11,13.52,16.151202749140882
SZSE.002881,2025-02-10,58.92,643400,525070,1.2253604281333916,2025-02-11,64.81,9.996605566870333
SHSE.688158,2025-02-10,27.5,29848268,25977374,1.149010211732718,2025-02-11,30.01,9.127272727272732
SHSE.600006,2025-02-11,8.51,44801200,16000300,2.800022499578133,2025-02-12,7.65,-10.105757931844881
SZSE.002881,2025-02-12,69.98,24069948,3678628,6.5431862096412035,2025-02-13,72.0,2.886539011146036
SHSE.600633,2025-02-13,18.25,53734600,14901740,3.60592789835281,2025-02-14,17.65,-3.28767123287672
SZSE.300065,2025-02-18,11.56,23979671,5326710,4.501778959245012,2025-02-19,12.03,4.065743944636669
SZSE.002978,2025-02-21,34.5,2714233,1841996,1.473528172699615,2025-02-24,32.52,-5.7391304347825995
SZSE.002929,2025-02-24,72.9,9793540,1221560,8.01724025017191,2025-02-25,64.11,-12.057613168724288
SHSE.600167,2025-02-27,6.06,7692950,6850850,1.1229190538400344,2025-02-28,6.16,1.650165016501659
SZSE.300031,2025-02-27,35.22,29356709,23014860,1.2755545330277915,2025-02-28,39.5,12.152186257808067
SHSE.603690,2025-03-03,28.39,8877700,4843277,1.8329944787382593,2025-03-04,25.0,-11.940824233885172
SHSE.603300,2025-03-07,12.52,192236759,36763734,5.228978073881179,2025-03-10,12.03,-3.9137380191693305
SHSE.603039,2025-03-07,81.63,2533280,2409151,1.051523960100467,2025-03-10,75.25,-7.815754012005385
SZSE.002093,2025-03-11,10.86,38322900,9316500,4.113443889872807,2025-03-12,11.38,4.788213627992646
SHSE.603108,2025-03-11,24.81,24425183,9930544,2.459601709634437,2025-03-12,23.0,-7.295445384925428
SZSE.000791,2025-03-12,6.38,19671019,7707519,2.5521855995424727,2025-03-13,6.28,-1.5673981191222515
SZSE.000156,2025-03-13,9.65,29102700,17986122,1.6180641941603644,2025-03-14,8.99,-6.83937823834197
SZSE.301500,2025-03-14,22.89,7634288,4725800,1.6154488128994033,2025-03-17,20.6,-10.004368719965047
SZSE.000612,2025-03-18,8.75,35386484,6232484,5.67774967412672,2025-03-19,8.5,-2.857142857142857
SZSE.000719,2025-03-25,11.79,14118178,13460590,1.0488528363169816,2025-03-26,11.1,-5.852417302798978
SZSE.002204,2025-03-28,7.11,76707588,69589100,1.1022931464841477,2025-03-31,6.41,-9.845288326300986
SHSE.601519,2025-04-01,9.94,31765300,19624610,1.6186461794654772,2025-04-02,9.13,-8.148893360160955
SZSE.002163,2025-04-02,7.4,14336600,7491200,1.9137921828278512,2025-04-03,7.36,-0.540540540540541
SHSE.603169,2025-04-02,8.85,62846900,54694747,1.149048189216416,2025-04-03,8.36,-5.536723163841811
SZSE.000403,2025-04-07,23.96,11307157,7554135,1.4968169088850014,2025-04-08,24.0,0.16694490818029692
SZSE.300294,2025-04-07,29.5,7243652,3073950,2.356463833178809,2025-04-08,27.79,-5.796610169491529
SZSE.002258,2025-04-07,9.45,8629378,7384802,1.1685320743873702,2025-04-08,9.46,0.10582010582012237
SHSE.603063,2025-04-08,26.48,4945825,2346700,2.107565943665573,2025-04-09,24.8,-6.344410876132929
SZSE.002947,2025-04-08,28.62,1654149,1382400,1.1965776909722223,2025-04-09,26.19,-8.490566037735848
SHSE.601083,2025-04-11,11.76,21974548,13724199,1.601153407932951,2025-04-14,10.42,-11.39455782312925
SHSE.600206,2025-04-16,18.59,29268500,18034702,1.6228990088109025,2025-04-17,18.74,0.8068854222700299
SHSE.603128,2025-04-17,7.58,101689316,26573730,3.8266858284478693,2025-04-18,7.51,-0.9234828496042254
SZSE.002194,2025-04-22,13.31,29295798,11960940,2.449288935485004,2025-04-23,12.8,-3.8317054845980447
SHSE.688313,2025-04-22,21.11,17991498,9417912,1.9103489181041402,2025-04-23,22.0,4.216011369019425
SZSE.002251,2025-04-23,6.08,30688262,6620637,4.635243104251147,2025-04-24,6.31,3.7828947368420978
SHSE.600507,2025-04-24,4.4,9967285,9899585,1.0068386705099255,2025-04-25,4.44,0.9090909090909097
SZSE.002537,2025-04-24,8.95,113894516,13457240,8.463437970936091,2025-04-25,9.54,6.592178770949719
SHSE.600771,2025-04-25,18.77,5240956,4563942,1.1483397466488399,2025-04-28,19.0,1.2253596164091658
SHSE.603516,2025-04-25,33.09,2282600,2166900,1.0533942498500162,2025-04-28,32.0,-3.294046539740113
SHSE.600744,2025-04-29,5.07,110157580,17201702,6.403876779169875,2025-04-30,4.61,-9.072978303747533
SZSE.002338,2025-05-09,50.9,10362418,3080800,3.363547779797455,2025-05-12,50.0,-1.7681728880157142
SHSE.600223,2025-05-16,8.92,47293477,35242547,1.3419426524422313,2025-05-19,7.9,-11.434977578475332
SHSE.601022,2025-05-16,12.23,54568062,6926700,7.877930616310797,2025-05-19,12.23,0.0
SZSE.000935,2025-05-19,17.17,4851516,4809025,1.0088356787498505,2025-05-20,18.54,7.979033197437375
SZSE.301297,2025-05-19,41.51,2178800,1993209,1.0931116606437157,2025-05-20,41.41,-0.24090580582992396
SZSE.301316,2025-05-23,56.57,28105900,2683983,10.471713121878938,2025-05-26,52.0,-8.078486830475518
SHSE.601858,2025-05-26,20.3,4845281,2733822,1.7723469194409878,2025-05-27,20.91,3.0049261083743817
SHSE.603693,2025-05-29,15.93,9794420,9193878,1.065319770395039,2025-05-30,17.48,9.730069052102955
SHSE.688206,2025-05-29,26.89,3638377,2142856,1.6979101722187586,2025-05-30,28.0,4.127928597991817
SZSE.301095,2025-05-29,55.0,2431630,1131900,2.1482728156197544,2025-05-30,56.55,2.818181818181813
SZSE.002537,2025-06-03,9.13,121441980,28891942,4.203316620253495,2025-06-04,8.5,-6.900328587075583
SHSE.603056,2025-06-03,22.88,23073833,4143600,5.568547398397529,2025-06-04,23.0,0.5244755244755288
SZSE.301592,2025-06-03,149.0,601800,446600,1.3475145544111062,2025-06-04,140.0,-6.0402684563758395
