symbol,buy_date,buy_price,sell_date,sell_price,profit_pct,predicted_prob
SHSE.603043,2025-12-11,16.93,2025-12-12,17.07,0.8269344359125741,0.9856675267219543
SZSE.002681,2025-12-11,6.66,2025-12-12,6.66,0.0,0.984057605266571
SZSE.002045,2025-12-11,14.1,2025-12-12,14.17,0.4964539007092261,0.9820342063903809
SZSE.300663,2025-12-11,17.07,2025-12-12,17.05,-0.11716461628588082,0.9798355102539062
SHSE.605198,2025-12-11,35.71,2025-12-12,35.71,0.0,0.9615117311477661
SZSE.002960,2025-12-12,10.25,2025-12-15,10.18,-0.6829268292682933,0.9803913831710815
SHSE.600657,2025-12-12,3.58,2025-12-15,3.54,-1.1173184357541888,0.9803813099861145
SZSE.300821,2025-12-12,11.86,2025-12-15,11.74,-1.0118043844856595,0.9609648585319519
SZSE.300134,2025-12-12,11.62,2025-12-15,11.51,-0.9466437177280462,0.9354370832443237
SZSE.002681,2025-12-12,6.69,2025-12-15,6.65,-0.5979073243647215,0.9257276654243469
SZSE.300027,2025-12-15,2.18,2025-12-16,2.17,-0.4587155963302836,0.9834903478622437
SHSE.600657,2025-12-15,3.54,2025-12-16,3.53,-0.28248587570621764,0.9667164087295532
SZSE.002216,2025-12-15,11.2,2025-12-16,11.22,0.17857142857145014,0.9649369716644287
SZSE.000503,2025-12-15,9.08,2025-12-16,9.08,0.0,0.9645373225212097
SHSE.600929,2025-12-15,5.76,2025-12-16,5.76,0.0,0.9590336680412292
SHSE.603533,2025-12-16,18.66,2025-12-17,18.75,0.4823151125401992,0.9910716414451599
SZSE.300624,2025-12-16,64.29,2025-12-17,64.28,-0.015554518587657107,0.988696813583374
SZSE.002881,2025-12-16,41.88,2025-12-17,41.8,-0.19102196752628364,0.9856957793235779
SHSE.603638,2025-12-16,18.92,2025-12-17,18.89,-0.1585623678647008,0.9855269193649292
SHSE.600629,2025-12-16,18.45,2025-12-17,18.45,0.0,0.978337824344635
SHSE.600633,2025-12-17,12.48,2025-12-18,12.36,-0.9615384615384692,0.966203510761261
SHSE.603887,2025-12-17,13.49,2025-12-18,13.4,-0.6671608598962209,0.9610211849212646
SZSE.002019,2025-12-17,11.92,2025-12-18,11.88,-0.3355704697986517,0.9607083201408386
SZSE.002163,2025-12-17,14.01,2025-12-18,13.83,-1.2847965738758016,0.9407674670219421
SHSE.600557,2025-12-17,14.29,2025-12-18,14.25,-0.2799160251924393,0.9407232403755188
SZSE.002219,2025-12-18,2.21,2025-12-19,2.22,0.452488687782826,0.9826349020004272
SHSE.600557,2025-12-18,14.28,2025-12-19,14.4,0.8403361344537785,0.9814964532852173
SZSE.002019,2025-12-18,11.91,2025-12-19,11.92,0.08396305625524292,0.979508638381958
SHSE.600480,2025-12-18,11.45,2025-12-19,11.46,0.08733624454149158,0.9754120707511902
SZSE.002163,2025-12-18,13.22,2025-12-19,13.15,-0.5295007564296572,0.972183883190155
SHSE.603638,2025-12-19,18.64,2025-12-22,18.73,0.4828326180257525,0.9874209761619568
SZSE.002881,2025-12-19,41.91,2025-12-22,42.0,0.21474588403722628,0.9788616895675659
SZSE.300738,2025-12-19,18.08,2025-12-22,18.09,0.05530973451328691,0.9741763472557068
SHSE.688698,2025-12-19,78.64,2025-12-22,78.64,0.0,0.9729860424995422
SZSE.300953,2025-12-19,141.89,2025-12-22,143.1,0.8527732750722494,0.9697470664978027
SHSE.600502,2025-12-22,4.66,2025-12-23,4.67,0.21459227467810482,0.9801794290542603
SHSE.603887,2025-12-22,13.53,2025-12-23,13.56,0.22172949002217113,0.9763535261154175
SZSE.301565,2025-12-22,24.65,2025-12-23,24.55,-0.40567951318457585,0.974199652671814
SZSE.000012,2025-12-22,4.47,2025-12-23,4.47,0.0,0.9734287858009338
SZSE.300438,2025-12-22,50.76,2025-12-23,51.3,1.0638297872340496,0.968582034111023
SZSE.300341,2025-12-23,16.76,2025-12-24,16.66,-0.5966587112171906,0.9874370098114014
SZSE.002390,2025-12-23,3.28,2025-12-24,3.28,0.0,0.9838431477546692
SZSE.002839,2025-12-23,4.57,2025-12-24,4.56,-0.2188183807440014,0.9812910556793213
SHSE.601636,2025-12-23,5.88,2025-12-24,5.88,0.0,0.9798634648323059
SZSE.002233,2025-12-23,9.07,2025-12-24,9.1,0.330760749724357,0.979121208190918
SHSE.600373,2025-12-24,9.27,2025-12-25,9.25,-0.21574973031283085,0.9716916084289551
SHSE.600285,2025-12-24,21.02,2025-12-25,21.05,0.1427212178877424,0.9658432006835938
SHSE.603202,2025-12-24,91.95,2025-12-25,92.0,0.054377379010328575,0.96416836977005
SHSE.600056,2025-12-24,10.48,2025-12-25,10.47,-0.0954198473282375,0.9608349800109863
SZSE.002003,2025-12-24,10.62,2025-12-25,10.62,0.0,0.9490594267845154
